UF_ESCOLA,ESFERA_GOVERNO,MUNICIPIO_ESCOLA,LOCALIZACAO_ESCOLA,NOME_ESCOLA,ALUNADO,TOTAL_RECEBIDO_ADESAO
AC,Estadual,CRUZEIRO DO SUL,Urbana,ESC LUIZ ANTONIO MEIRIM PEDREIRA,80,"5,520.00"
AC,Estadual,CRUZEIRO DO SUL,Urbana,ESC MADRE ADELGUNDES BECKER,100,"6,900.00"
AC,Estadual,CRUZEIRO DO SUL,Rural,ESC MAGIA DO SABER,100,"10,100.00"
AC,Estadual,CRUZEIRO DO SUL,Rural,ESC MANOEL BRAZ DE MELO,40,"4,040.00"
AC,Estadual,CRUZEIRO DO SUL,Rural,ESC MARCILIO NUNES RIBEIRO II,52,"6,020.00"
AC,Municipal,CRUZEIRO DO SUL,Urbana,ESC MARIA DA CONCEICAO CASTRO DE LIMA,120,"23,880.00"
AC,Estadual,CRUZEIRO DO SUL,Rural,ESC MARIA DE NAZARE SANTIAGO,100,"10,100.00"
AC,Estadual,CRUZEIRO DO SUL,Urbana,ESC MARIA LIMA DE SOUZA,100,"6,900.00"
AC,Municipal,CRUZEIRO DO SUL,Urbana,ESC MARIA TEREZINHA DE JESUS SAAVEDRA,100,"21,180.00"
AC,Estadual,CRUZEIRO DO SUL,Rural,ESC MAURICIO MAPPES BARROSO,80,"8,080.00"
AC,Estadual,CRUZEIRO DO SUL,Urbana,ESC MUSTAFA ALMEIDA TOBU,80,"5,520.00"
AC,Municipal,CRUZEIRO DO SUL,Urbana,ESC NISE VARELA,80,"16,560.00"
AC,Estadual,CRUZEIRO DO SUL,Rural,ESC NORBERTO ASSUNCAO,60,"6,060.00"
AC,Estadual,CRUZEIRO DO SUL,Rural,ESC OLAVO BILAC,100,"10,100.00"
AC,Estadual,CRUZEIRO DO SUL,Urbana,ESC PADRE CARLOS KUNZ,100,"6,900.00"
AC,Municipal,CRUZEIRO DO SUL,Urbana,ESC PADRE CRISTOVAO FREIRE ARNAUD,120,"23,880.00"
AC,Estadual,CRUZEIRO DO SUL,Urbana,ESC PADRE DAMIAO,80,"5,520.00"
AC,Municipal,CRUZEIRO DO SUL,Urbana,ESC PADRE MARCELINO CHAMPAGNAT,100,"21,180.00"
AC,Estadual,CRUZEIRO DO SUL,Rural,ESC PLACIDO DE CASTRO,80,"8,080.00"
AC,Estadual,CRUZEIRO DO SUL,Urbana,ESC PRESBITERIANA DE CRUZEIRO DO SUL,60,"4,140.00"
AC,Estadual,CRUZEIRO DO SUL,Urbana,ESC PRESIDENTE TANCREDO DE ALMEIDA NEVES,100,"5,520.00"
AC,Estadual,CRUZEIRO DO SUL,Rural,ESC PRINCESA DA FLORESTA,80,"8,080.00"
AC,Estadual,CRUZEIRO DO SUL,Urbana,ESC PROFESSOR ANTONIO DE BARROS FREIRE,80,"5,520.00"
AC,Estadual,CRUZEIRO DO SUL,Urbana,ESC PROF QUITA,120,"8,280.00"
AC,Estadual,CRUZEIRO DO SUL,Rural,ESC RAINHA DA FLORESTA,80,"8,080.00"
AC,Municipal,CRUZEIRO DO SUL,Urbana,ESC RUI BARBOSA,150,"31,050.00"
AC,Estadual,CRUZEIRO DO SUL,Rural,ESC SANTA LUZIA,111,"8,075.00"
AC,Estadual,CRUZEIRO DO SUL,Rural,ESC SANTA RITA,100,"8,075.00"
AC,Estadual,CRUZEIRO DO SUL,Urbana,ESC SAO JOSE,80,"5,520.00"
AC,Municipal,CRUZEIRO DO SUL,Urbana,ESC THAUMATURGO DE AZEVEDO,120,"23,880.00"
AC,Estadual,EPITACIOLANDIA,Urbana,ESC BRASIL BOLIVIA,60,"4,140.00"
AC,Estadual,EPITACIOLANDIA,Rural,ESC LUIZ GONZAGA DA ROCHA,80,"8,080.00"
AC,Municipal,FEIJO,Rural,ESC ANTONIO FENELON DE OLIVEIRA,61,"23,955.00"
AC,Estadual,FEIJO,Rural,ESC ANTONIO SIMPLICIO DE OLIVEIRA,86,"6,018.00"
AC,Municipal,FEIJO,Urbana,ESC DR EIRALDO CARNEIRO DE FRANCA,120,"23,880.00"
AC,Municipal,FEIJO,Rural,ESC EUGENIA MORAIS DA SILVEIRA,142,"27,198.00"
AC,Estadual,FEIJO,Urbana,ESC FRANCISCO NUNES LEITAO,80,"5,520.00"
AC,Municipal,FEIJO,Rural,ESC JOSE MARIA DE CASTRO,21,"10,395.00"
AC,Estadual,FEIJO,Urbana,ESC NANZIO MAGALHAES,80,"5,520.00"
AC,Municipal,FEIJO,Rural,ESC PEDRO MOTA LEITAO,62,"23,970.00"
AC,Municipal,FEIJO,Urbana,ESC PROF SEVERINO CORDEIRO,100,"21,180.00"
AC,Estadual,FEIJO,Urbana,ESC RAIMUNDO AUGUSTO DE ARAUJO,80,"5,520.00"
AC,Estadual,FEIJO,Urbana,ESC VICENTE CELSO BRANDAO,80,"5,520.00"
AC,Estadual,JORDAO,Urbana,ESC JAIRO DE FIGUEIREDO MELO,106,"8,210.00"
AC,Estadual,MANCIO LIMA,Urbana,ESC 1º DE MAIO,100,"6,900.00"
AC,Estadual,MANCIO LIMA,Urbana,ESC ANTONIO OLIVEIRA DANTAS,100,"6,900.00"
AC,Estadual,MANCIO LIMA,Urbana,ESC BELARMINO DE MENDONCA,120,"8,280.00"
AC,Estadual,MANCIO LIMA,Rural,ESC INDIGENA IXUBAY RABUI PUYANAWA,80,"8,080.00"
AC,Estadual,MANCIO LIMA,Rural,ESC INDIGENA PEDRO ANTONIO DE OLIVEIRA,60,"6,060.00"
AC,Estadual,MANCIO LIMA,Urbana,ESC SAO FRANCISCO,110,"8,230.00"
AC,Estadual,MANOEL URBANO,Urbana,ESC NAZIRA ANUTE DE LIMA,40,"2,760.00"
AC,Municipal,MARECHAL THAUMATURGO,Rural,ESC ANTONIO RUBENS PINHEIRO,104,"7,224.00"
AC,Municipal,MARECHAL THAUMATURGO,Rural,ESC CECILIA MEIRELES,37,"4,025.00"
AC,Municipal,MARECHAL THAUMATURGO,Rural,ESC INDIGENA SAMUEL PIANKO,214,"13,314.00"
AC,Municipal,MARECHAL THAUMATURGO,Rural,ESC JOAO PRAXEDES,128,"8,448.00"
AC,Municipal,MARECHAL THAUMATURGO,Rural,ESC JOSE PINTO PEREIRA,60,"3,995.00"
AC,Municipal,MARECHAL THAUMATURGO,Urbana,ESC JUSTINIANO DE SERPA,300,"59,700.00"
AC,Municipal,MARECHAL THAUMATURGO,Rural,ESC MARNIZIA CRUZ,225,"14,499.00"
AC,Municipal,MARECHAL THAUMATURGO,Rural,ESC PRAXEDES BRANDAO,161,"12,045.00"
AC,Municipal,MARECHAL THAUMATURGO,Rural,ESC SAO RAIMUNDO,75,"8,055.00"
AC,Municipal,PLACIDO DE CASTRO,Urbana,ESC CASINHA DO SABER,35,"5,499.00"
AC,Municipal,PLACIDO DE CASTRO,Rural,ESC DOMINGOS GALDINO,80,"14,544.00"
AC,Municipal,PLACIDO DE CASTRO,Urbana,ESC ELIAS MANSOUR SIMAO,180,"23,880.00"
AC,Estadual,PLACIDO DE CASTRO,Rural,ESC FLAVIA BARROS PIMENTEL,80,"8,080.00"
AC,Estadual,PLACIDO DE CASTRO,Urbana,ESC FRANKLIN ROOSEVELT,150,"10,990.00"
AC,Municipal,PLACIDO DE CASTRO,Rural,ESC JOAO BATISTA LOPES DE LIMA,40,"13,560.00"
AC,Estadual,PLACIDO DE CASTRO,Urbana,ESC JOSE FRANCISCO DA SILVA,100,"6,900.00"
AC,Municipal,PLACIDO DE CASTRO,Rural,ESC PROF CARLOS JOSE DOS SANTOS,80,"24,240.00"
AC,Municipal,PLACIDO DE CASTRO,Urbana,ESC PROF CARMELIA ALVES DE ARAUJO,60,"11,940.00"
AC,Estadual,PLACIDO DE CASTRO,Rural,ESC SAO LUIZ GONZAGA,50,"6,010.00"
AC,Municipal,PLACIDO DE CASTRO,Rural,ESC SENIRA DOS SANTOS,60,"17,460.00"
AC,Municipal,PLACIDO DE CASTRO,Urbana,ESC SIRLEI PAIVA DE LIMA II,20,"2,772.00"
AC,Estadual,PORTO ACRE,Rural,ESC CENTRAL DO ANDIRA,20,"1,212.00"
AC,Estadual,PORTO ACRE,Rural,ESC EDMUNDO PINTO DE ALMEIDA NETO,40,"4,040.00"
AC,Estadual,PORTO ACRE,Rural,ESC JADER SARAIVA MACHADO,80,"8,080.00"
AC,Estadual,PORTO ACRE,Rural,ESC SAO JOSE I,20,"2,020.00"
AC,Estadual,PORTO ACRE,Rural,ESC SAO RAIMUNDO NONATO,30,"2,394.00"
AC,Estadual,PORTO ACRE,Rural,ESC UNIAO E PROGRESSO,40,"4,040.00"
AC,Estadual,RIO BRANCO,Rural,ESC 25 DE JULHO,40,"2,424.00"
AC,Estadual,RIO BRANCO,Rural,ESC ADOLFO BARBOSA LEITE,20,"2,020.00"
AC,Estadual,RIO BRANCO,Urbana,ESC ALCIMAR NUNES LEITAO,40,"2,760.00"
AC,Estadual,RIO BRANCO,Rural,ESC ALTO ALEGRE II,60,"4,040.00"
AC,Municipal,RIO BRANCO,Urbana,ESC ALVARO VIEIRA DA ROCHA,160,"33,120.00"
AC,Municipal,RIO BRANCO,Urbana,ESC ANICE DIB JATENE,80,"16,560.00"
AC,Estadual,RIO BRANCO,Rural,ESC ARACY CERQUEIRA,80,"8,080.00"
AC,Estadual,RIO BRANCO,Urbana,ESC AUREA PIRES MONTES DE SOUZA,80,"5,520.00"
AC,Estadual,RIO BRANCO,Urbana,ESC AYRTON SENA DA SILVA,40,"2,760.00"
AC,Estadual,RIO BRANCO,Rural,ESC BEIJA FLOR,40,"4,040.00"
AC,Estadual,RIO BRANCO,Urbana,ESC BELO JARDIM,100,"6,900.00"
AC,Municipal,RIO BRANCO,Urbana,ESC BENFICA,120,"23,880.00"
AC,Estadual,RIO BRANCO,Rural,ESC BOM JARDIM,40,"4,040.00"
AC,Estadual,RIO BRANCO,Rural,ESC CAPITAO EDGAR CERQUEIRA FILHO,40,"4,040.00"
AC,Municipal,RIO BRANCO,Urbana,ESC CHICO MENDES,300,"59,700.00"
AC,Estadual,RIO BRANCO,Urbana,ESC CLARISSE FECURY,150,"6,594.00"
AC,Estadual,RIO BRANCO,Rural,ESC CLAUDIO AUGUSTO FERREIRA DE SALES,80,"8,080.00"
AC,Estadual,RIO BRANCO,Urbana,ESC CLINIO BRANDAO,60,"4,140.00"
AC,Estadual,RIO BRANCO,Urbana,ESC COLEGIO ACREANO,40,"2,760.00"
AC,Estadual,RIO BRANCO,Urbana,ESC DJALMA TELES GALDINO,100,"6,900.00"
AC,Estadual,RIO BRANCO,Urbana,ESC DR FLAVIANO FLAVIO BATISTA,40,"2,760.00"
AC,Estadual,RIO BRANCO,Urbana,ESC DR JOAO BATISTA AGUIAR,160,"11,040.00"
AC,Municipal,RIO BRANCO,Urbana,ESC DR JOSE CARVALHO,191,"40,305.00"
AC,Estadual,RIO BRANCO,Urbana,ESC DR MARIO DE OLIVEIRA,40,"2,760.00"
AC,Estadual,RIO BRANCO,Urbana,ESC DR PIMENTEL GOMES,120,"8,280.00"
AC,Municipal,RIO BRANCO,Rural,ESC DR ZAQUEU MACHADO,40,"8,136.00"
AC,Estadual,RIO BRANCO,Urbana,ESC DUQUE DE CAXIAS,40,"2,760.00"
AC,Estadual,RIO BRANCO,Urbana,ESC ELIAS MANSOUR SIMAO FILHO,150,"6,594.00"
AC,Estadual,RIO BRANCO,Urbana,ESC ELOZIRA DOS SANTOS THOME,100,"6,900.00"
AC,Estadual,RIO BRANCO,Rural,ESC ENA OLIVEIRA DE PAULA,60,"6,060.00"
AC,Estadual,RIO BRANCO,Rural,ESC ERCILIA FEITOSA GOMES,40,"4,040.00"
AC,Municipal,RIO BRANCO,Urbana,ESC FRANCISCO AUGUSTO BACURAU,60,"11,940.00"
AC,Municipal,RIO BRANCO,Urbana,ESC FRANCISCO DE PAULA LEITE OITICICA FILHO,226,"47,550.00"
AC,Estadual,RIO BRANCO,Urbana,ESC FRANCISCO SALGADO FILHO,40,"2,760.00"
AC,Estadual,RIO BRANCO,Urbana,ESC FREI THIAGO MARIA MATIOLLI,60,"4,140.00"
AC,Estadual,RIO BRANCO,Urbana,ESC GEORGETE ELUAN KALUME,40,"2,760.00"
AC,Estadual,RIO BRANCO,Urbana,ESC GOVERNADOR JOSE AUGUSTO,60,"4,140.00"
AC,Estadual,RIO BRANCO,Urbana,ESC IRACEMA GOMES PEREIRA,80,"5,520.00"
AC,Municipal,RIO BRANCO,Urbana,ESC IRMA MARIA GABRIELA SOARES,60,"11,940.00"
AC,Municipal,RIO BRANCO,Urbana,ESC ISMAEL GOMES DE CARVALHO,230,"47,610.00"
AC,Estadual,RIO BRANCO,Urbana,ESC JOAO MARIANO DA SILVA,120,"5,520.00"
AC,Estadual,RIO BRANCO,Urbana,ESC JOAO PAULO I,80,"5,520.00"
AC,Estadual,RIO BRANCO,Urbana,ESC JOELMA OLIVEIRA DE LIMA,80,"5,520.00"
AC,Estadual,RIO BRANCO,Urbana,ESC JORNALISTA JOSE CHALUB LEITE,120,"5,520.00"
AC,Municipal,RIO BRANCO,Urbana,ESC JOSE POTYGUARA,200,"40,440.00"
AC,Municipal,RIO BRANCO,Urbana,ESC JUVENAL ANTUNES,40,"9,240.00"
AC,Estadual,RIO BRANCO,Urbana,ESC LEONCIO DE CARVALHO,60,"4,140.00"
AC,Estadual,RIO BRANCO,Urbana,ESC LOURIVAL SOMBRA PEREIRA LIMA,100,"6,900.00"
AC,Municipal,RIO BRANCO,Rural,ESC LUIZA DE LIMA CADAXO,69,"24,075.00"
AC,Municipal,RIO BRANCO,Urbana,ESC LUIZ DE CARVALHO FONTENELLE,100,"6,900.00"
AC,Estadual,RIO BRANCO,Rural,ESC MAJOR JOAO CANCIO,40,"4,040.00"
AC,Estadual,RIO BRANCO,Rural,ESC MANOEL MACHADO,100,"10,100.00"
AC,Estadual,RIO BRANCO,Urbana,ESC MARECHAL HUMBERTO DE ALENCAR CASTELO BRANCO,40,"2,760.00"
AC,Estadual,RIO BRANCO,Urbana,ESC MARIA ANGELICA DE CASTRO,40,"2,760.00"
AC,Estadual,RIO BRANCO,Urbana,ESC MARIA CHALUB LEITE,60,"4,140.00"
AC,Municipal,RIO BRANCO,Urbana,ESC MARIA LUCIA MOURA MARIN,130,"28,350.00"
AC,Municipal,RIO BRANCO,Urbana,ESC MARIANA DA SILVA OLIVEIRA,120,"23,880.00"
AC,Estadual,RIO BRANCO,Urbana,ESC MARIA RAIMUNDA BALBINO,80,"5,520.00"
AC,Estadual,RIO BRANCO,Urbana,ESC MARILDA GOUVEIA VIANA,40,"2,760.00"
AC,Municipal,RIO BRANCO,Rural,ESC MARIO LOBAO,60,"17,460.00"
AC,Municipal,RIO BRANCO,Rural,ESC MESTRE IRINEU SERRA,80,"24,240.00"
AC,Municipal,RIO BRANCO,Urbana,ESC MONTE CASTELO,50,"4,090.00"
AC,Estadual,RIO BRANCO,Urbana,ESC MOZART DONIZET,40,"2,760.00"
AC,Estadual,RIO BRANCO,Urbana,ESC NATALINO DA SILVEIRA BRITO,80,"5,520.00"
AC,Estadual,RIO BRANCO,Rural,ESC OSCAR FELICIO DE SOUZA,125,"8,439.00"
AC,Estadual,RIO BRANCO,Urbana,ESC PADRE DIOGO FEIJO,20,"1,380.00"
AC,Estadual,RIO BRANCO,Urbana,ESC PAULO FREIRE,80,"5,520.00"
AC,Municipal,RIO BRANCO,Rural,ESC PROFª MARILENE MANSOUR,63,"23,985.00"
AC,Municipal,RIO BRANCO,Rural,ESC PROFª TEREZINHA MIGUEIS,75,"24,165.00"
AC,Estadual,RIO BRANCO,Urbana,ESC PROF BERTA VIEIRA DE ANDRADE,200,"13,800.00"
AC,Estadual,RIO BRANCO,Rural,ESC PROF DALVA DE SOUZA DAS NEVES,40,"4,040.00"
AC,Estadual,RIO BRANCO,Urbana,ESC PROF ILKA MARIA DE LIMA,100,"6,900.00"
AC,Estadual,RIO BRANCO,Rural,ESC PROF IRENE DANTAS DO NASCIMENTO,60,"6,060.00"
AC,Estadual,RIO BRANCO,Urbana,ESC PROF PEDRO MARTINELLO,454,"19,026.00"
AC,Estadual,RIO BRANCO,Urbana,ESC RAIMUNDO BORGES DA COSTA,80,"5,520.00"
AC,Estadual,RIO BRANCO,Urbana,ESC RAIMUNDO GOMES DE OLIVEIRA,120,"8,280.00"
AC,Municipal,RIO BRANCO,Urbana,ESC RAIMUNDO HERMINIO DE MELO,50,"11,790.00"
AC,Estadual,RIO BRANCO,Urbana,ESC RAMONA MULA PASTOR DE CASTRO,80,"5,520.00"
AC,Estadual,RIO BRANCO,Urbana,ESC REINALDO PEREIRA DA SILVA,100,"5,500.00"
AC,Estadual,RIO BRANCO,Urbana,ESC ROBERTO SANCHES MUBARAC,80,"5,520.00"
AC,Estadual,RIO BRANCO,Rural,ESC RUY AZEVEDO,40,"4,040.00"
AC,Estadual,RIO BRANCO,Urbana,ESC SAMUEL BARREIRA,40,"2,760.00"
AC,Estadual,RIO BRANCO,Rural,ESC SANTA MARIA II,100,"10,100.00"
AC,Estadual,RIO BRANCO,Urbana,ESC SAO FRANCISCO DE ASSIS I,80,"5,520.00"
AC,Estadual,RIO BRANCO,Rural,ESC SAO PEDRO I,40,"4,040.00"
AC,Estadual,RIO BRANCO,Urbana,ESC SENADOR ADALBERTO SENA,100,"4,140.00"
AC,Estadual,RIO BRANCO,Urbana,ESC THEODOLINA FALCAO MACEDO,80,"5,520.00"
AC,Estadual,RIO BRANCO,Rural,ESC WILSON PINHEIRO,40,"4,040.00"
AC,Estadual,RODRIGUES ALVES,Rural,ESC FELICISSIMO NEGREIROS,40,"4,040.00"
AC,Estadual,RODRIGUES ALVES,Urbana,ESC FRANCISCO BRAGA DE SOUZA,100,"6,900.00"
AC,Estadual,RODRIGUES ALVES,Rural,ESC JOSE DE SOUZA MARTINS,40,"4,040.00"
AC,Municipal,SANTA ROSA DO PURUS,Urbana,ESC ANTONIA FERNANDES DE MOURA,100,"6,900.00"
AC,Municipal,SANTA ROSA DO PURUS,Urbana,ESC DR CELSO COSME SALGADO,401,"28,885.00"
AC,Municipal,SANTA ROSA DO PURUS,Rural,ESC INDIGENA NOVA ALIANCA,64,"8,000.00"
AC,Municipal,SANTA ROSA DO PURUS,Rural,ESC INDIGENA NOVA FRONTEIRA,28,"3,980.00"
AC,Municipal,SANTA ROSA DO PURUS,Rural,ESC INDIGENA SANTA MARIA,79,"8,075.00"
AC,Estadual,SENADOR GUIOMARD,Rural,BOA VISTA,60,"3,636.00"
AC,Estadual,SENADOR GUIOMARD,Urbana,ESC 15 DE JUNHO,80,"5,520.00"
AC,Estadual,SENADOR GUIOMARD,Urbana,ESC PROF DIVA PEREIRA DE SOUZA,80,"3,312.00"
AC,Estadual,SENADOR GUIOMARD,Rural,ESC PROF MARIA AUXILIADORA CUNHA QUEIROZ,60,"6,060.00"
AC,Estadual,SENADOR GUIOMARD,Rural,ESC RAIMUNDO HERMINIO DE MELO II,40,"4,040.00"
AC,Estadual,SENADOR GUIOMARD,Rural,ESC SAO FRANCISCO DE ASSIS II,40,"4,040.00"
AC,Estadual,SENADOR GUIOMARD,Rural,ESC SAO JOSE IV,30,"2,394.00"
AC,Municipal,SENA MADUREIRA,Rural,ESC CAZUMBA,65,"17,190.00"
AC,Municipal,SENA MADUREIRA,Urbana,ESC CLARISSE ASSEF,50,"11,790.00"
AC,Municipal,SENA MADUREIRA,Urbana,ESC ELIZIARIO TAVORA,150,"18,630.00"
AC,Municipal,SENA MADUREIRA,Urbana,ESC EUCLIDES FEITOSA CAVALCANTE,160,"21,180.00"
AC,Municipal,SENA MADUREIRA,Urbana,ESC EUGENIO AUGUSTO AREAL,200,"31,050.00"
AC,Municipal,SENA MADUREIRA,Urbana,ESC GUTTEMBERG MODESTO DA COSTA,200,"24,264.00"
AC,Municipal,SENA MADUREIRA,Rural,ESC JOSE JOAQUIM DE MATOS,147,"31,020.00"
AC,Municipal,SENA MADUREIRA,Rural,ESC LEONICE FERNANDES DE ALMEIDA BREGENCE,158,"29,070.00"
AC,Municipal,SENA MADUREIRA,Rural,ESC PORTO ALEGRE,37,"13,515.00"
AC,Municipal,SENA MADUREIRA,Urbana,ESC PROF MESSIAS RODRIGUES DE SOUZA,200,"35,745.00"
AC,Municipal,SENA MADUREIRA,Urbana,ESC RAIMUNDO HERMINIO DE MELO,150,"21,180.00"
AC,Municipal,SENA MADUREIRA,Rural,ESC SAO BENTO,51,"10,455.00"
AC,Municipal,SENA MADUREIRA,Rural,ESC SAO DOMINGOS,39,"13,545.00"
AC,Municipal,SENA MADUREIRA,Rural,ESC SAO JOSE,59,"13,545.00"
AC,Municipal,SENA MADUREIRA,Urbana,ESC SIQUEIRA DE MENEZES,150,"23,835.00"
AC,Municipal,SENA MADUREIRA,Urbana,ESC WALFREDO GUEDES MONTEIRO,80,"16,560.00"
AC,Municipal,TARAUACA,Rural,ESC 15 DE JUNHO II,110,"34,770.00"
AC,Municipal,TARAUACA,Urbana,ESC ADELMAR DE OLIVEIRA,140,"28,500.00"
AC,Municipal,TARAUACA,Rural,ESC ALMERIO BANDEIRA DE MELO,75,"24,165.00"
AC,Municipal,TARAUACA,Urbana,ESC ALMIRANTE BARROSO,63,"16,305.00"
AC,Municipal,TARAUACA,Rural,ESC AURELINO PEREIRA DE BRITO,130,"41,550.00"
AC,Municipal,TARAUACA,Rural,ESC CEL JOSE MARQUES DE ALBUQUERQUE,90,"27,990.00"
AC,Estadual,TARAUACA,Urbana,ESC DELZUITE BARROSO BRAGA DE ARAUJO,80,"5,520.00"
AC,Municipal,TARAUACA,Rural,ESC DR DEMOSTENES RODRIGUES,70,"24,090.00"
AC,Municipal,TARAUACA,Rural,ESC EDUARDO DOS SANTOS MORAIS,110,"34,770.00"
AC,Municipal,TARAUACA,Rural,ESC ESTERFANIA PERGENTINO MARTINS,85,"27,915.00"
AC,Estadual,TARAUACA,Rural,ESC INDIGENA ESTIRAO DO CAUCHO I,190,"12,090.00"
AC,Estadual,TARAUACA,Rural,ESC INDIGENA IVA STTIHO,80,"4,848.00"
AC,Estadual,TARAUACA,Urbana,ESC JOAO RIBEIRO,100,"6,900.00"
AC,Municipal,TARAUACA,Rural,ESC MAJOR BAYMA,90,"27,990.00"
AC,Municipal,TARAUACA,Rural,ESC MANOEL TEIXEIRA,120,"34,920.00"
AC,Municipal,TARAUACA,Rural,ESC MARIA ODILIA DA SILVA DE MELO,120,"34,920.00"
AC,Municipal,TARAUACA,Rural,ESC MARIA RITA ALBUQUERQUE SANTOS CATAO,70,"24,090.00"
AC,Municipal,TARAUACA,Rural,ESC PEDRO ZUMBA DA SILVA,180,"52,380.00"
AC,Estadual,TARAUACA,Urbana,ESC PLACIDO DE CASTRO,100,"6,900.00"
AC,Municipal,TARAUACA,Urbana,ESC PROF JOSE AUGUSTO DE ARAUJO,160,"33,120.00"
AC,Municipal,TARAUACA,Urbana,ESC PROF RILZA MARIA DANIEL DO NASCIMENTO,210,"42,990.00"
AC,Estadual,TARAUACA,Urbana,ESC ROSAURA MOURAO DA ROCHA,80,"5,520.00"
AC,Municipal,TARAUACA,Rural,ESC SANTA TEREZINHA,90,"27,990.00"
AC,Estadual,TARAUACA,Urbana,ESC TUPANIR GAUDENCIO DA COSTA,80,"5,520.00"
AC,Municipal,TARAUACA,Urbana,ESC VALDINA TORQUATO DO NASCIMENTO,180,"35,820.00"
AC,Estadual,XAPURI,Rural,ESC 5 DE DEZEMBRO,26,"3,970.00"
AC,Estadual,XAPURI,Rural,ESC BARBARA VIEIRA DE SANTANA,20,"2,020.00"
AC,Estadual,XAPURI,Rural,ESC BELO HORIZONTE,80,"5,975.00"
AC,Estadual,XAPURI,Urbana,ESC DIVINA PROVIDENCIA,80,"5,520.00"
AC,Estadual,XAPURI,Rural,ESC ESPERANCA DO POVO,100,"10,100.00"
AC,Estadual,XAPURI,Urbana,ESC MADRE GABRIELA NARDI,40,"2,760.00"
AC,Estadual,XAPURI,Rural,ESC PADRE JOSIMO,28,"3,980.00"
AC,Estadual,XAPURI,Urbana,ESC PLACIDO DE CASTRO,40,"2,760.00"
AC,Estadual,XAPURI,Rural,ESC SAO MIGUEL,20,"2,020.00"
AC,Estadual,XAPURI,Rural,ESC UNIAO,54,"6,030.00"
AL,Estadual,AGUA BRANCA,Urbana,ESCOLA ESTADUAL DOMINGOS MOEDA,300,"12,420.00"
AL,Municipal,ANADIA,Urbana,ESCOLA MUNICIPAL CICERO DA ROCHA SOBRINHO,130,"28,350.00"
AL,Municipal,ANADIA,Urbana,ESCOLA MUNICIPAL DR GERALDO TENORIO SILVEIRA,120,"23,880.00"
