UF_ESCOLA,ESFERA_GOVERNO,MUNICIPIO_ESCOLA,LOCALIZACAO_ESCOLA,NOME_ESCOLA,ALUNADO,TOTAL_RECEBIDO_ADESAO
BA,Municipal,ALAGOINHAS,Urbana,ESCOLA MUNICIPAL ISAIAS FIGUEIREDO,127,"16,983.00"
BA,Municipal,ALAGOINHAS,Urbana,ESCOLA MUNICIPAL JARDIM PETROLAR,150,"31,050.00"
BA,Municipal,ALAGOINHAS,Urbana,ESCOLA MUNICIPAL JOANA DARC,43,"11,685.00"
BA,Municipal,ALAGOINHAS,Rural,ESCOLA MUNICIPAL JORGE AMADO,30,"10,530.00"
BA,Municipal,ALAGOINHAS,Rural,ESCOLA MUNICIPAL JOSE ABELHA FLORES,59,"17,445.00"
BA,Municipal,ALAGOINHAS,Rural,ESCOLA MUNICIPAL JOSE DE ANCHIETA,98,"30,990.00"
BA,Municipal,ALAGOINHAS,Rural,ESCOLA MUNICIPAL JOSE HONORATO,120,"34,920.00"
BA,Municipal,ALAGOINHAS,Urbana,ESCOLA MUNICIPAL MARCO MACIEL,120,"23,880.00"
BA,Municipal,ALAGOINHAS,Rural,ESCOLA MUNICIPAL MARIA DE LOURDES SANTOS,60,"17,460.00"
BA,Municipal,ALAGOINHAS,Rural,ESCOLA MUNICIPAL MARIA QUITERIA,25,"3,965.00"
BA,Municipal,ALAGOINHAS,Urbana,ESCOLA MUNICIPAL MENINO JESUS,245,"52,155.00"
BA,Municipal,ALAGOINHAS,Urbana,ESCOLA MUNICIPAL MIGUEL CALMON,195,"13,775.00"
BA,Municipal,ALAGOINHAS,Urbana,ESCOLA MUNICIPAL MIGUEL FONTES,150,"31,050.00"
BA,Municipal,ALAGOINHAS,Rural,ESCOLA MUNICIPAL NOSSA SENHORA DOS MILAGRES,52,"17,340.00"
BA,Municipal,ALAGOINHAS,Rural,ESCOLA MUNICIPAL PADRE CICERO,66,"8,010.00"
BA,Municipal,ALAGOINHAS,Urbana,ESCOLA MUNICIPAL PAULO FREIRE,150,"31,050.00"
BA,Municipal,ALAGOINHAS,Urbana,ESCOLA MUNICIPAL PEDRO FURTADO,150,"31,050.00"
BA,Municipal,ALAGOINHAS,Rural,ESCOLA MUNICIPAL PERICLES NOGUEIRA MAGALHAES,56,"17,400.00"
BA,Municipal,ALAGOINHAS,Rural,ESCOLA MUNICIPAL PROFESSORA JULINDA CAPINAM,45,"17,235.00"
BA,Municipal,ALAGOINHAS,Rural,ESCOLA MUNICIPAL PROFESSORA LUZIA MARGARIDA PINTO,80,"8,080.00"
BA,Municipal,ALAGOINHAS,Urbana,ESCOLA MUNICIPAL PROFESSOR ALVARO PALMEIRA,100,"6,900.00"
BA,Municipal,ALAGOINHAS,Urbana,ESCOLA MUNICIPAL PROFESSOR MAURILIO JOSE DO ESPIRITO SANTO,80,"5,520.00"
BA,Municipal,ALAGOINHAS,Urbana,ESCOLA MUNICIPAL PROF MARIA HELENA DANTAS CRUZ,43,"7,011.00"
BA,Municipal,ALAGOINHAS,Urbana,ESCOLA MUNICIPAL RUI BARBOSA,39,"9,225.00"
BA,Municipal,ALAGOINHAS,Urbana,ESCOLA MUNICIPAL SANTA TEREZINHA,100,"6,900.00"
BA,Municipal,ALAGOINHAS,Rural,ESCOLA MUNICIPAL SENHOR DO BONFIM - BURI,28,"10,500.00"
BA,Municipal,ALAGOINHAS,Urbana,ESCOLA MUNICIPAL TANCREDO NEVES,100,"21,180.00"
BA,Municipal,ALAGOINHAS,Urbana,ESCOLA MUNICIPAL UIRASSU DE ASSIS BATISTA,200,"40,440.00"
BA,Municipal,ALAGOINHAS,Urbana,ESCOLA MUNICIPAL VALE DO SOL,66,"16,350.00"
BA,Municipal,ALAGOINHAS,Rural,ESCOLA MUNICIPAL VISCONDE DO RIO BRANCO,58,"17,430.00"
BA,Municipal,ALCOBACA,Urbana,CENTRO EDUCACIONAL MUNIC DE ALCOBACA,520,"35,880.00"
BA,Municipal,ALCOBACA,Urbana,EMEF EUNICE JERONIMO DE OLIVEIRA,150,"10,990.00"
BA,Municipal,ALCOBACA,Rural,EMEF PARAISO,65,"8,005.00"
BA,Municipal,ALCOBACA,Urbana,EMEF PARAISO VERDE,151,"10,995.00"
BA,Municipal,ALCOBACA,Urbana,ESCOLA MUNICIPAL DO ENSINO FUNDAMENTAL BOM JESUS,240,"13,800.00"
BA,Municipal,ALCOBACA,Urbana,ESCOLA MUNICIPAL DO ENSINO FUNDAMENTAL EUGENIA VIANA RODRIGUES,78,"4,090.00"
BA,Municipal,ALCOBACA,Rural,ESCOLA MUNICIPAL DO ENSINO FUNDAMENTAL MARIA QUITERIA,150,"10,100.00"
BA,Municipal,ALCOBACA,Rural,ESCOLA MUNICIPAL DO ENSINO FUNDAMENTAL NOVO DESTINO,63,"7,995.00"
BA,Municipal,ALCOBACA,Rural,ESCOLA MUNICIPAL DO ENSINO FUNDAMENTAL POUSO ALEGRE,80,"4,848.00"
BA,Municipal,ALCOBACA,Urbana,ESCOLA MUNICIPAL DO ENSINO FUNDAMENTAL SAO BERNARDO,85,"6,825.00"
BA,Municipal,ALCOBACA,Rural,ESCOLA MUNICIPAL DO ENSINO FUNDAMENTAL ULISSES GUIMARAES,200,"20,200.00"
BA,Municipal,ALCOBACA,Rural,ESCOLA NUCLEO MUNICIPAL CECILIA CAIRES,61,"7,985.00"
BA,Municipal,ALCOBACA,Rural,ESCOLA NUCLEO MUNICIPAL ELOI FERREIRA,200,"14,050.00"
BA,Municipal,ALMADINA,Urbana,COLEGIO MUNICIPAL PROFESSOR JOAO ARBAGE,340,"68,940.00"
BA,Municipal,ALMADINA,Urbana,ESCOLA MUNICIPAL POUSO ALEGRE,194,"40,350.00"
BA,Estadual,AMARGOSA,Urbana,EE - COLEGIO ESTADUAL SANTA BERNADETE,1430,"171,846.00"
BA,Estadual,AMARGOSA,Urbana,EE - ESCOLAS REUNIDAS ALMEIDA SAMPAIO- TEMPO INTEGRAL,462,"95,250.00"
BA,Municipal,AMARGOSA,Urbana,ESCOLA DE 1º GRAU MONSENHOR ANTONIO JOSE DE ALMEIDA,145,"19,110.00"
BA,Municipal,AMARGOSA,Rural,ESCOLA MUNICIPAL ARTUR DE ALMEIDA PASSOS,30,"10,530.00"
BA,Municipal,AMARGOSA,Rural,ESCOLA MUNICIPAL DEOLINDA MAIA SALES,30,"10,530.00"
BA,Municipal,AMARGOSA,Urbana,ESCOLA MUNICIPAL DOM FLORENCIO SISINIO VIEIRA,80,"4,090.00"
BA,Municipal,AMARGOSA,Rural,ESCOLA MUNICIPAL DR ARMANDO DA SILVA LIBORIO,30,"10,530.00"
BA,Municipal,AMARGOSA,Rural,ESCOLA MUNICIPAL FRANCISCO JUVENTINO DE SOUZA,30,"10,530.00"
BA,Municipal,AMARGOSA,Rural,ESCOLA MUNICIPAL JULIO PINHEIRO DOS SANTOS,109,"20,853.00"
BA,Municipal,AMARGOSA,Urbana,ESCOLA MUNICIPAL MARIA JOSE VELOSO SALES,28,"7,140.00"
BA,Municipal,AMARGOSA,Urbana,ESCOLA MUNICIPAL PROFª DELIA DO AMARAL G SANTOS,60,"7,164.00"
BA,Municipal,AMARGOSA,Rural,ESCOLA MUNICIPAL PROF ERALDO TINOCO,30,"10,530.00"
BA,Municipal,AMARGOSA,Urbana,ESCOLA MUNICIPAL PROFESSORA DINORAH LEMOS DA SILVA,120,"19,110.00"
BA,Municipal,AMARGOSA,Urbana,ESCOLA MUNICIPAL PROFESSORA EDELVIRA SALES ANDRADE,100,"4,140.00"
BA,Municipal,AMARGOSA,Urbana,ESCOLA MUNICIPAL PROFESSORA ROSALINA SOUZA BITTENCOURT,20,828.00
BA,Municipal,AMARGOSA,Rural,ESCOLA MUNICIPAL VEREADORA IRACI ALVES BORGES SILVA,20,"6,780.00"
BA,Municipal,AMARGOSA,Urbana,ESCOLA MUNICIPAL VIVALDA ANDRADE OLIVEIRA,300,"35,820.00"
BA,Municipal,AMARGOSA,Rural,ESCOLA MUNICIPAL WILLIAM DAVILA DE BASTOS,72,"17,340.00"
BA,Municipal,AMELIA RODRIGUES,Urbana,EE - CENTRO EDUCACIONAL DOUTOR ALOYSIO DE CASTRO,569,"114,615.00"
BA,Estadual,AMELIA RODRIGUES,Urbana,EE - EDUCANDARIO IMACULADO CORACAO DE MARIA,200,"24,264.00"
BA,Municipal,AMELIA RODRIGUES,Rural,ESC CEL JAIME DA COSTA PINTO,60,"17,460.00"
BA,Municipal,AMELIA RODRIGUES,Rural,ESC MUNICIPAL ANTONIO IZIDORO FRANCO,47,"17,265.00"
BA,Municipal,AMELIA RODRIGUES,Urbana,ESCOLA MUNICIPAL ANTONIO JOSE PINTO,367,"76,065.00"
BA,Municipal,AMELIA RODRIGUES,Urbana,ESCOLA MUNICIPAL ELIZETE SANTOS REIS,74,"16,470.00"
BA,Municipal,AMELIA RODRIGUES,Rural,ESC WALTER FALCAO,63,"23,985.00"
BA,Municipal,AMELIA RODRIGUES,Urbana,GRUPO ESCOLAR DEPUTADO WILSON FALCAO,180,"35,820.00"
BA,Municipal,ANDARAI,Rural,COLEGIO MUNICIPAL ANTONIO CARLOS MAGALHAES,110,"34,770.00"
BA,Municipal,ANDARAI,Rural,ESCOLA DE TEMPO INTEGRAL FERNANDO GOMES DE AZEVEDO,120,"34,920.00"
BA,Municipal,ANDARAI,Rural,ESCOLA DE TEMPO INTEGRAL ILZA GUEDES SILVA,125,"30,900.00"
BA,Municipal,ANDARAI,Urbana,ESCOLA DE TEMPO INTEGRAL STEFANO TALENTI,135,"28,425.00"
BA,Municipal,ANDARAI,Urbana,ESCOLA LUIZ VIANA FILHO,100,"21,180.00"
BA,Municipal,ANDARAI,Urbana,ESCOLA MUNICIPAL AMPHILOPHIO DA SILVA GONDIM,233,"35,715.00"
BA,Municipal,ANDARAI,Urbana,ESCOLA MUNICIPAL CARLOS SANTANA,100,"21,180.00"
BA,Municipal,ANDARAI,Rural,ESCOLA MUNICIPAL DE TEMPO INTEGRAL ERALDO TINOCO,107,"34,725.00"
BA,Municipal,ANDARAI,Urbana,ESCOLA MUNICIPAL DE UBIRAITA,134,"28,410.00"
BA,Municipal,ANDARAI,Urbana,ESCOLA MUNICIPAL EURICO ANTUNES COSTA,39,"2,755.00"
BA,Municipal,ANDARAI,Urbana,ESCOLA MUNICIPAL PROFESSORA DARCY PINA DANTAS,100,"21,180.00"
BA,Municipal,ANDARAI,Rural,NUCLEO EDUCACIONAL MARGENTINA GUIMARAES SILVA,96,"30,960.00"
BA,Estadual,ANDORINHA,Rural,EE - ESCOLA ESTADUAL RURAL PAULO SOUTO - DISTRITO DE VILA MEDRADO,76,"14,508.00"
BA,Municipal,ANGICAL,Rural,ESCOLA MUNICIPAL CAMERINO JOSE DA SILVA,63,"7,995.00"
BA,Municipal,ANGICAL,Rural,ESCOLA MUNICIPAL DOM RICARDO,30,"3,990.00"
BA,Municipal,ANGICAL,Urbana,ESCOLA MUNICIPAL ROSKILDE DE OLIVEIRA E SILVA,50,"4,090.00"
BA,Municipal,ANGICAL,Rural,ESCOLA MUNICIPAL SAO FRANCISCO DOS LAVRADORES,48,"3,600.00"
BA,Municipal,ANGICAL,Rural,ESCOLA MUNICIPAL VIDA E SABER,80,"8,080.00"
BA,Municipal,ANGUERA,Urbana,CENTRO EDUCACIONAL PROFESSOR AUREO DE OLIVEIRA FILHO,125,"28,275.00"
BA,Estadual,ANGUERA,Urbana,EE - COLEGIO ESTADUAL ARTHUR VIEIRA DE OLIVEIRA,100,"21,180.00"
BA,Municipal,ANGUERA,Urbana,ESCOLA MUNICIPAL ERICO SOFIA BRANDAO,180,"28,215.00"
BA,Municipal,ANGUERA,Rural,ESCOLA MUNICIPAL LEONCIO HORACIO DE ALMEIDA,120,"34,920.00"
BA,Municipal,ANGUERA,Rural,ESCOLA MUNICIPAL MARIA RITA ALVES DE JESUS,110,"34,770.00"
BA,Municipal,ANGUERA,Rural,ESCOLA OVIDIO BALBINO DE ALMEIDA,20,"6,780.00"
BA,Municipal,ANGUERA,Rural,PREDIO ESCOLAR CEZARIO BOAVENTURA DE JESUS,20,"6,780.00"
BA,Municipal,ANGUERA,Rural,PREDIO ESCOLAR ORLANDO CARNEIRO,20,"6,780.00"
BA,Municipal,ANTAS,Rural,COLEGIO MUNICIPAL DUAS SERRAS,147,"45,405.00"
BA,Municipal,ANTAS,Urbana,COL MUL DE ANTAS,215,"44,985.00"
BA,Municipal,ANTAS,Urbana,ESCOLA MUNICIPAL DE ENSINO FUNDAMENAL ALZIRA FELIX DO NASCIMENTO,150,"31,050.00"
BA,Municipal,ANTAS,Rural,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL ACCIOLY VIEIRA,93,"30,915.00"
BA,Municipal,ANTAS,Urbana,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL DR LUIS VIANA NETO,102,"23,610.00"
BA,Municipal,ANTAS,Urbana,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL DR LUIZ VIANA FILHO,60,"11,940.00"
BA,Municipal,ANTAS,Urbana,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL JUTAHY MAGALHAES,56,"11,880.00"
BA,Municipal,ANTAS,Rural,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL ROBERTO SANTOS,92,"24,060.00"
BA,Municipal,ANTAS,Rural,POLO EDUCACIONAL I 21 DE ABRIL,68,"24,060.00"
BA,Municipal,ANTAS,Rural,POLO EDUCACIONAL III SAGRADO CORACAO DE JESUS,44,"10,425.00"
BA,Municipal,ANTAS,Rural,POLO EDUCACIONAL II SANTA TEREZINHA,57,"17,415.00"
BA,Municipal,ANTAS,Rural,POLO EDUCACIONAL IV ESTADUAL DO RANGEL,59,"17,445.00"
BA,Municipal,ANTAS,Rural,POLO EDUCACIONAL VI SAO JOSE CARPINTEIRO,50,"17,310.00"
BA,Municipal,ANTAS,Rural,POLO EDUCACIONAL V NOSSA SENHORA DO ROSARIO,51,"17,325.00"
BA,Estadual,ANTONIO CARDOSO,Urbana,EE - COLEGIO ESTADUAL ANTONIO CARLOS MAGALHAES,141,"21,180.00"
BA,Municipal,ANTONIO GONCALVES,Urbana,COLEGIO MUNICIPAL CINCO DE JULHO,220,"45,060.00"
BA,Municipal,ANTONIO GONCALVES,Rural,COLEGIO MUNICIPAL DE I GRAU PROFESSORA TEREZINHA DE JESUS GUIRRA,125,"24,885.00"
BA,Municipal,ANTONIO GONCALVES,Rural,ESCOLA MUNICIPAL ARAGUACY GONCALVES,52,"17,340.00"
BA,Municipal,ANTONIO GONCALVES,Urbana,ESCOLA MUNICIPAL DR CARLOS SANTANA,120,"23,880.00"
BA,Municipal,ANTONIO GONCALVES,Rural,ESCOLA MUNICIPAL FRANCISCO BRAZ DE SANTANA,25,"10,455.00"
BA,Municipal,ANTONIO GONCALVES,Urbana,ESCOLA MUNICIPAL JOSE ALVES DE FREITAS,60,"11,940.00"
BA,Municipal,ANTONIO GONCALVES,Urbana,ESCOLA MUNICIPAL NOSSA SENHORA AUXILIADORA,111,"23,745.00"
BA,Municipal,ANTONIO GONCALVES,Rural,ESCOLA MUNICIPAL PAULO RIBEIRO,80,"24,240.00"
BA,Municipal,ANTONIO GONCALVES,Rural,ESCOLA MUNICIPAL TELESPHORO MENEZES,29,"10,515.00"
BA,Municipal,APORA,Rural,CENTRO EDUCACIONAL LAURO FERREIRA DE SALES,50,"17,310.00"
BA,Municipal,APORA,Urbana,COLEGIO MUNICIPAL OLIVEIRA BRITO,100,"21,180.00"
BA,Estadual,APORA,Urbana,EE - COLEGIO ESTADUAL DOUTOR JAIRO AZI - DIST DE ITAMIRA,115,"16,515.00"
BA,Municipal,APORA,Rural,ESCOLA MUNICIPAL CASTELO BRANCO,100,"31,020.00"
BA,Municipal,APORA,Urbana,ESCOLA MUNICIPAL DE ITAMIRA,60,"11,940.00"
BA,Municipal,APORA,Rural,ESCOLA MUNICIPAL JOSE BARROS EVANGELISTA,46,"17,250.00"
BA,Municipal,APORA,Rural,ESCOLA MUNICIPAL PAULO JOSE DE SOUZA,170,"31,338.00"
BA,Municipal,APORA,Rural,ESCOLA MUNICIPAL PROFESSOR ALBERTO HENRIQUE,70,"14,454.00"
BA,Municipal,APORA,Rural,ESCOLA MUNICIPAL PROFESSORA MARIA DA GLORIA,80,"14,544.00"
BA,Municipal,APORA,Rural,ESCOLA MUNICIPAL PROFESSOR ARIVALDO ALVES,50,"17,310.00"
BA,Municipal,APORA,Rural,ESCOLA MUNICIPAL SAO LAZARO,80,"24,240.00"
BA,Municipal,APORA,Urbana,ESCOLA MUNICIPAL SENADOR ANTONIO CARLOS MAGALHAES,150,"31,050.00"
BA,Municipal,APORA,Urbana,ESCOLA MUN JOSE BONIFACIO,115,"23,805.00"
BA,Municipal,APORA,Urbana,ESCOLA MUN THEODORO JOSE DOS SANTOS,100,"21,180.00"
BA,Municipal,APUAREMA,Urbana,ESCOLA MUNICIPAL AURINO NERY SOUZA,451,"92,685.00"
BA,Municipal,ARACAS,Urbana,COLEGIO MUNICIPAL DE ARACAS,30,"7,170.00"
BA,Municipal,ARACAS,Urbana,COLEGIO MUNICIPAL MARCIO NIVALDO DOS SANTOS BORGES,30,"7,170.00"
BA,Municipal,ARACAS,Rural,ESCOLA MUNICIPAL COSME MUNIZ,24,"10,440.00"
BA,Municipal,ARACAS,Rural,ESCOLA MUNICIPAL DOM PEDRO I,30,"10,530.00"
BA,Municipal,ARACAS,Rural,ESCOLA MUNICIPAL GETULIO VARGAS,30,"10,530.00"
BA,Municipal,ARACAS,Rural,ESCOLA MUNICIPAL JOAO PAULO II,30,"10,530.00"
BA,Municipal,ARACAS,Rural,ESCOLA MUNICIPAL SANTOS DUMONT,24,"6,264.00"
BA,Municipal,ARACAS,Rural,ESCOLA MUNICIPAL ULISSES GUIMARAES,29,"10,515.00"
BA,Municipal,ARACI,Urbana,CENTRO DE EDUCACAO MUNICIPAL OLIVEIRA BRITO,120,"23,880.00"
BA,Municipal,ARACI,Rural,COLEGIO MUNICIPAL CARLOS RAIMUNDO MOTA,80,"24,240.00"
BA,Municipal,ARACI,Rural,COLEGIO MUNICIPAL JOSE BRIGIDO DA SILVA,80,"24,240.00"
BA,Municipal,ARACI,Rural,ESC CASTRO ALVES,47,"10,470.00"
BA,Municipal,ARACI,Rural,ESC CIRILO PEREIRA DE MATOS,50,"17,310.00"
BA,Municipal,ARACI,Rural,ESC COSME DE FARIAS,42,"17,190.00"
BA,Municipal,ARACI,Rural,ESC DERALDO DE SOUSA,50,"17,310.00"
BA,Municipal,ARACI,Rural,ESC JARBAS PASSARINHO,63,"23,985.00"
BA,Municipal,ARACI,Rural,ESC JOSE BONIFACIO,80,"24,240.00"
