ANO_REFERENCIA,UF_ESCOLA,MUNICIPIO_ESCOLA,ESFERA_GOVERNO,LOCALIZACAO_ESCOLA,INEP_ESCOLA,NOME_ESCOLA,ALUNADO,TOTAL_RECEBIDO_ADESAO,,,
2016,SP,MOGI GUACU,Estadual,Urbana,35039202,ZENAIDE FRANCO DE FARIA MELLO PROFA,42,R$ 4.050,0,,
2016,SP,CERQUEIRA CESAR,Municipal,Urbana,35215193,ZELY MEIRA CACCIOLARI EMEIEF,100,R$ 21.180,0,,
2016,SP,TAMBAU,Municipal,Urbana,35088547,ZELINDA DE SORDI SOBREIRA PROFESSORA EMEB,80,R$ 9.936,0,,
2016,SP,SAO JOSE DO RIO PARDO,Municipal,Urbana,35050573,ZELIA MARIA ZANETTI PROFESSORA EMEB,60,R$ 11.940,0,,
2016,SP,FERRAZ DE VASCONCELOS,Estadual,Urbana,35923436,ZELIA GATTAI AMADO,80,R$ 5.520,0,,
2016,SP,SOROCABA,Estadual,Urbana,35903267,ZELIA DULCE DE CAMPOS MAIA PROFESSORA,200,R$ 13.800,0,,
2016,SP,PONTALINDA,Estadual,Urbana,35027182,ZELIA DE LOURDES ZACCARELLI LOPES PROFESSORA,100,R$ 6.900,0,,
2016,PR,PONTAL DO PARANA,Municipal,Urbana,41155939,ZELIA CERANTO RIVATTO E M PROFA,40,R$ 1.656,0,,
2016,SP,TABOAO DA SERRA,Estadual,Urbana,35010297,ZEICY APPARECIDA NOGUEIRA BAPTISTA PROFESSORA,100,R$ 21.180,0,,
2016,CE,TRAIRI,Municipal,Urbana,23039949,ZEFINHA RIBEIRO BARROSO COLEGIO,100,R$ 21.180,0,,
2016,CE,MAURITI,Municipal,Urbana,23160500,ZEFINHA CARTAXO EEF,100,R$ 21.180,0,,
2016,SP,CAMPINAS,Municipal,Urbana,35201108,ZEFERINO VAZ PROFESSOR EMEF DO CAIC,643,R$ 131.085,0,,
2016,MA,CAXIAS,Municipal,Rural,21233128,ZEFERINO BORGES DA CUNHA,133,R$ 31.005,0,,
2016,CE,CHOROZINHO,Municipal,Rural,23204028,ZE LOURENCO EEF,60,R$ 17.460,0,,
2016,PR,PONTA GROSSA,Municipal,Urbana,41063546,ZANONI ROGOSKI E M EI EF,140,R$ 28.500,0,,
2016,PR,PONTA GROSSA,Municipal,Urbana,41063538,ZAIR S NASCIMENTO E M PROF EI EF,399,R$ 71.385,0,,
2016,SP,AVARE,Municipal,Urbana,35213147,ZAINY ZEQUI DE OLIVEIRA PROFA EMEB,40,R$ 2.760,0,,
2016,PR,PONTA GROSSA,Municipal,Urbana,41062507,ZAHIRA C P MELLO E M PROFA EI EF,120,R$ 23.880,0,,
2016,CE,CATUNDA,Municipal,Urbana,23031123,ZACARIAS SAO EMEF,300,R$ 59.700,0,,
2016,CE,QUIXERE,Municipal,Urbana,23131560,ZACARIAS FERREIRA DE SOUSA ESCOLA DA EDUCACAO BASICA,307,R$ 56.940,0,,
2016,PR,SAO JOAO DO IVAI,Municipal,Urbana,41040554,ZACARIAS DE GOES E VASCONCELOS E M EIEF,55,R$ 11.865,0,,
2016,CE,RERIUTABA,Municipal,Rural,23030305,ZACARIAS CORDEIRO DE PAULO EEIF,100,R$ 31.020,0,,
2016,PR,CURITIBA,Estadual,Urbana,41134443,ZACARIAS C E CONS EF M,30,R$ 7.170,0,,
2016,CE,QUITERIANOPOLIS,Municipal,Rural,23092955,ZACARIAS BEZERRA DO NASCIMENTO EEIF,130,R$ 34.770,0,,
2016,SP,COTIA,Estadual,Urbana,35010561,ZACARIAS ANTONIO DA SILVA,80,R$ 16.560,0,,
2016,PR,CURITIBA,Estadual,Urbana,41134435,YVONE PIMENTEL C E EF M,80,R$ 16.560,0,,
2016,SP,SAO BERNARDO DO CAMPO,Estadual,Urbana,35906670,YVONE FRUTUOSO PRODOSSIMO PROFESSORA,200,R$ 8.280,0,,
2016,PR,BANDEIRANTES,Municipal,Urbana,41043626,YUKITI MATIDA E M EI EF,100,R$ 6.900,0,,
2016,SP,VALINHOS,Municipal,Urbana,35279766,YRMA DE ANDRADE FIORI DOUTORA EMEB,31,R$ 5.463,0,,
2016,SP,CASTILHO,Municipal,Urbana,35217273,YOUSSEF NEIF KASSAB DOUTOR EMEF,100,R$ 6.900,0,,
2016,SP,SAO PAULO,Estadual,Urbana,35037761,YOLANDO MALLOZZI,100,R$ 6.900,0,,
2016,SP,PONTAL,Municipal,Urbana,35338461,YOLANDA LUIZ SICHIERI PROFESSORA EMEF,80,R$ 3.312,0,,
2016,SP,BEBEDOURO,Municipal,Urbana,35338448,YOLANDA CAROLINA GIGLIO VILLELA EMEF,284,R$ 59.460,0,,
2016,SP,PINDAMONHANGABA,Estadual,Urbana,35013456,YOLANDA BUENO DE GODOY PROFESSORA,100,R$ 6.900,0,,
2016,SP,IBIUNA,Municipal,Urbana,35221156,YOLANDA AGOSTINHO DE LIMA PROFESSORA ESCOLA MUNICIPAL,20,R$ 4.620,0,,
2016,CE,SOBRAL,Municipal,Urbana,23271558,YEDDA FROTA,120,R$ 23.880,0,,
2016,SP,HORTOLANDIA,Estadual,Urbana,35039861,YASUO SASAKI,234,R$ 28.602,0,,
2016,CE,CAUCAIA,Municipal,Rural,23064307,YARA GUERRA SILVA EEIEF,37,R$ 13.515,0,,
2016,PR,BOM JESUS DO SUL,Estadual,Rural,41084128,XV DE NOVEMBRO E E C EF,30,R$ 10.530,0,,
2016,SP,SAO JOSE DOS CAMPOS,Estadual,Urbana,35917266,XENOFONTE STRABAO DE CASTRO PROFESSOR,93,R$ 6.865,0,,
2016,CE,CANINDE,Municipal,Rural,23048158,XAVIER DE MEDEIROS ESC MUL,60,R$ 17.460,0,,
2016,SP,SAO PAULO,Estadual,Urbana,35001624,WOLNY CARVALHO RAMOS PROFESSOR,300,R$ 40.290,0,,
2016,PR,PALMEIRA,Municipal,Rural,41061845,WITMARSUM E M C DE EI EF,20,R$ 2.020,0,,
2016,PR,LONDRINA,Estadual,Urbana,41030486,WISTREMUNDO R P GARCIA C E PE EF M,30,R$ 4.302,0,,
2016,SP,SERTAOZINHO,Estadual,Urbana,35023607,WINSTON CHURCHILL,60,R$ 2.750,0,,
2016,SP,SOROCABA,Estadual,Urbana,35914605,WILSON RAMOS BRANDAO PROFESSOR,40,R$ 2.760,0,,
2016,SP,SAO PAULO,Estadual,Urbana,35923597,WILSON RACHID,200,R$ 13.800,0,,
2016,SP,VOTORANTIM,Estadual,Urbana,35039809,WILSON PRESTES MIRAMONTES PROFESSOR,150,R$ 31.050,0,,
2016,SP,PINDAMONHANGABA,Estadual,Urbana,35042274,WILSON PIRES CESAR PROFESSOR,80,R$ 16.560,0,,
2016,SP,CHAVANTES,Municipal,Urbana,35077318,WILSON NOGUEIRA EMEIF,39,R$ 9.225,0,,
2016,SP,PRAIA GRANDE,Municipal,Urbana,35278889,WILSON GUEDES DOUTOR ESCOLA MUNICIPAL,40,R$ 2.760,0,,
2016,PR,APUCARANA,Municipal,Urbana,41026349,WILSON DE AZEVEDO E M C PROF EF,104,R$ 4.920,0,,
2016,SP,AMERICANA,Estadual,Urbana,35921567,WILSON CAMARGO PROF,20,R$ 1.380,0,,
2016,SP,OLIMPIA,Estadual,Urbana,35028046,WILQUEM MANOEL NEVES DOUTOR,40,R$ 2.760,0,,
2016,SP,JANDIRA,Municipal,Urbana,35437608,WILMAR SOARES DA SILVA EMEB,100,R$ 21.180,0,,
2016,SP,JANDIRA,Estadual,Urbana,35918787,WILMAR SOARES DA SILVA,100,R$ 16.440,0,,
2016,PR,CORNELIO PROCOPIO,Estadual,Urbana,41143922,WILLIAM MADI E E PROF EF,30,R$ 4.302,0,,
2016,SP,SAO PAULO,Estadual,Urbana,35909075,WILFREDO PINHEIRO PROF,20,R$ 828,0,,
2016,CE,QUIXERAMOBIM,Municipal,Rural,23103353,WICAR PARENTE DE PAULA PESSOA EEF GAL,124,R$ 30.975,0,,
2016,SP,CAMPINAS,Estadual,Urbana,35903887,WASHINGTON JOSE DE LACERDA ORTIZ PROFESSOR,253,R$ 31.365,0,,
2016,SP,SAO PAULO,Estadual,Urbana,35904594,WASHINGTON ALVES NATEL,100,R$ 6.900,0,,
2016,SP,SAO PAULO,Estadual,Urbana,35121484,WANDER TAFFO MUSICO,250,R$ 35.655,0,,
2016,SP,SANTO ANDRE,Estadual,Urbana,35008473,WANDA BENTO GONCALVES PROFESSORA,100,R$ 6.900,0,,
2016,SP,TAUBATE,Municipal,Urbana,35246207,WALTHER DE OLIVEIRA PROF EMEF,270,R$ 40.350,0,,
2016,SP,TAUBATE,Municipal,Urbana,35195832,WALTER THAUMATURGO PROF EMEF,240,R$ 47.760,0,,
2016,SP,GUARUJA,Estadual,Urbana,35011484,WALTER SCHEPIS PROFESSOR,350,R$ 42.894,0,,
2016,CE,HIDROLANDIA,Municipal,Urbana,23031565,WALTER MARINHO EMEF PREFEITO,180,R$ 35.820,0,,
2016,SP,ATIBAIA,Municipal,Urbana,35128090,WALTER ENGRACIA DE OLIVEIRA PREFEITO EMEF,349,R$ 59.700,0,,
2016,CE,MAURITI,Municipal,Urbana,23160764,WALTER DE CALDAS TELES EEF,120,R$ 23.880,0,,
2016,SP,LINS,Estadual,Urbana,35909312,WALTER CARDOSO GALATI PROF,126,R$ 28.290,0,,
2016,SP,LINS,Municipal,Urbana,35300172,WALTER BINI DOM ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL,120,R$ 23.880,0,,
2016,CE,VICOSA DO CEARA,Municipal,Rural,23013850,WALTER BEZERRA DE SA EEF,70,R$ 24.090,0,,
2016,SP,BAURU,Estadual,Urbana,35900217,WALTER BARRETTO MELCHERT PROF,521,R$ 64.305,0,,
2016,SP,JABOTICABAL,Municipal,Urbana,35415558,WALTER BARIONI PROF EMEB,120,R$ 23.880,0,,
2016,SP,ITANHAEM,Municipal,Urbana,35248927,WALTER ARDUINI PROF EM,120,R$ 23.880,0,,
2016,CE,PACATUBA,Municipal,Urbana,23190906,WALNEY DO CARMO LOPES EMTI,61,R$ 16.275,0,,
2016,CE,MARACANAU,Municipal,Urbana,23197196,WALMIKI SAMPAIO DE ALBUQUERQUE EMEIEF,100,R$ 21.180,0,,
2016,PR,MATINHOS,Municipal,Urbana,41381785,WALLACE T DE MELLO E SILVA E M EF,560,R$ 67.248,0,,
2016,CE,BOA VIAGEM,Municipal,Rural,23097752,WALKMAR BRASIL SANTOS E E F,100,R$ 31.020,0,,
2016,CE,ICO,Municipal,Rural,23141727,WALFRIDO MONTEIRO SOBRINHO E M,180,R$ 52.380,0,,
2016,PR,ASSAI,Estadual,Rural,41040899,WALERIAN WROZ E E C PROF EF,30,R$ 10.530,0,,
2016,SP,PRESIDENTE EPITACIO,Municipal,Urbana,35277502,WALDYR ROMEO DA SILVEIRA PROF EMEF,320,R$ 64.320,0,,
2016,SP,SAGRES,Estadual,Urbana,35031550,WALDOMIRO SAMPAIO DE SOUZA PREFEITO,135,R$ 8.255,0,,
2016,SP,CUBATAO,Estadual,Urbana,35474873,WALDOMIRO MARIANI PROFESSOR,400,R$ 56.970,0,,
2016,SP,MAGDA,Municipal,Urbana,35447456,WALDOMIRO LOJUDICE EMEF,148,R$ 31.020,0,,
2016,SP,PITANGUEIRAS,Municipal,Urbana,35248563,WALDOMIRO FERREIRA FRAGA ESCOLA MUNICIPAL,243,R$ 45.060,0,,
2016,SP,IBIUNA,Municipal,Rural,35080974,WALDOMIRO ANTONIO SOARES ESCOLA MUNICIPAL,40,R$ 13.560,0,,
2016,PR,UNIAO DA VITORIA,Municipal,Rural,41118324,WALDOMIRO A DE SOUZA E M C PROF EI EF,60,R$ 17.460,0,,
2016,SP,SAO PAULO,Estadual,Urbana,35925524,WALDIR RODOLPHO DE CASTRO,50,R$ 4.090,0,,
2016,CE,VARJOTA,Municipal,Urbana,23285818,WALDIR LEOPERCIO EEF,110,R$ 23.730,0,,
2016,SP,SANTA ISABEL,Municipal,Urbana,35416526,WALDIR JOSE CABRAL SAUEIA PREFEITO EMEB,66,R$ 16.350,0,,
2016,SP,SANTOS,Municipal,Urbana,35203816,WALDERY DE ALMEIDA PROFESSOR UNIDADE MUNICIPAL DE EDUCACAO,40,R$ 1.656,0,,
2016,SP,SAO JOSE DO RIO PRETO,Estadual,Urbana,35908150,WALDEMIRO NAFFAH DOUTOR,20,R$ 1.380,0,,
2016,SP,SAO PAULO,Estadual,Urbana,35910338,WALDEMAR RODRIGUES DA SILVA PASTOR,286,R$ 59.490,0,,
2016,SP,RIBEIRAO PRETO,Municipal,Urbana,35435946,WALDEMAR ROBERTO PROFESSOR DOUTOR EMEF,280,R$ 34.200,0,,
2016,SP,GUARARAPES,Estadual,Urbana,35030041,WALDEMAR QUEIROZ PROF,20,R$ 1.380,0,,
2016,SP,MARILIA,Estadual,Urbana,35033765,WALDEMAR MONIZ DA ROCHA BARROS DR,261,R$ 54.795,0,,
2016,SP,CATANDUVA,Municipal,Urbana,35276650,WALDEMAR MARTINS AYDAR PROFESSOR EMEF,200,R$ 24.264,0,,
2016,SP,LIMEIRA,Municipal,Urbana,35243620,WALDEMAR LUCATO DR EMEIEF,40,R$ 9.240,0,,
2016,SP,LEME,Estadual,Urbana,35021428,WALDEMAR FERREIRA PROFESSOR,20,R$ 1.380,0,,
2016,SP,SOROCABA,Estadual,Urbana,35041646,WALDEMAR DE FREITAS ROSA PROFESSOR,40,R$ 9.240,0,,
2016,CE,SANTANA DO CARIRI,Municipal,Rural,23168498,WALDEMAR DE ALENCAR LIMA EMEIEF,74,R$ 24.150,0,,
2016,CE,IPAPORANGA,Municipal,Urbana,23249005,WALDEMAR DE ALCANTARA GOVERNADOR EEF,120,R$ 23.880,0,,
2016,SP,GUARUJA,Estadual,Urbana,35042146,WALDEMAR DA SILVA RIGOTTO PROFESSOR,80,R$ 5.520,0,,
2016,SP,ATIBAIA,Municipal,Urbana,35243437,WALDEMAR BASTOS BUHLER EM,130,R$ 17.010,0,,
2016,CE,PENTECOSTE,Municipal,Urbana,23045779,WALDEMAR ALCANTARA EEF GOVERNADOR,120,R$ 23.880,0,,
2016,PR,MATELANDIA,Municipal,Urbana,41077113,VOVO CASSIANO DA VEIGA MELLO E M EI EF,20,R$ 1.380,0,,
2016,PR,RIO BRANCO DO SUL,Municipal,Urbana,41137213,VOVO BRASILIA E M EF,40,R$ 2.760,0,,
2016,SP,JANDIRA,Municipal,Urbana,35064865,VIVICO PEREIRA EMEB,100,R$ 21.180,0,,
2016,SP,HORTOLANDIA,Municipal,Urbana,35449064,VIVA MAIS ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL,159,R$ 33.105,0,,
2016,CE,CRATO,Municipal,Rural,23163860,VITURINO DA COSTA VILAR EEIEF,100,R$ 31.020,0,,
2016,SP,ORIENTE,Estadual,Urbana,35033790,VITU GIORGI DONA,40,R$ 2.760,0,,
2016,PR,LONDRINA,Municipal,Rural,41033469,VITORIO LIBARDI E R M EF,52,R$ 17.340,0,,
2016,PR,PALOTINA,Municipal,Urbana,41066812,VITORINO ROGGIA E M PE EI EF,25,R$ 7.095,0,,
2016,PR,CORNELIO PROCOPIO,Municipal,Urbana,41044657,VITORINO GOMES HENRIQUES E M EI EF,102,R$ 23.610,0,,
2016,PR,FLORESTOPOLIS,Municipal,Urbana,41021800,VITORIA REGIA E M EF,40,R$ 2.760,0,,
2016,PR,UNIAO DA VITORIA,Municipal,Urbana,41118456,VITORIA FERNANDES E M EI EF,75,R$ 16.485,0,,
2016,SP,IPORANGA,Municipal,Rural,35280215,VITOR RODRIGUES DA MOTTA EMEIEF,40,R$ 13.560,0,,
2016,SP,SUMARE,Estadual,Urbana,35042559,VITO CARMINE CERBASI PROFESSOR,40,R$ 1.656,0,,
2016,SP,PERUIBE,Estadual,Urbana,35911343,VITALINO BERNINI PADRE PROFESSOR,100,R$ 6.900,0,,
2016,SP,SAO PAULO,Estadual,Urbana,35002707,VITAL FOGACA DE ALMEIDA DOUTOR,40,R$ 2.760,0,,
2016,CE,BOA VIAGEM,Municipal,Rural,23098120,VITAL ELIAS FILHO E E F PADRE,110,R$ 34.770,0,,
2016,PR,CORONEL VIVIDA,Municipal,Rural,41092600,VISTA ALEGRE E M EI EF,66,R$ 24.030,0,,
2016,PR,ENEAS MARQUES,Estadual,Rural,41085345,VISTA ALEGRE E E C DE EF,30,R$ 10.530,0,,
2016,PR,CHOPINZINHO,Municipal,Rural,41091647,VISAO DO FUTURO E R M EI EF,48,R$ 6.000,0,,
2016,SP,OURINHOS,Estadual,Urbana,35034216,VIRGINIA RAMALHO,60,R$ 4.140,0,,
2016,SP,CAMPINAS,Municipal,Urbana,35083847,VIRGINIA MENDES ANTUNES DE VASCONCELLOS EMEF,314,R$ 47.490,0,,
2016,SP,UBATUBA,Municipal,Urbana,35245240,VIRGINIA MELLE DA SILVA LEFEVRE EM,70,R$ 16.410,0,,
2016,CE,INDEPENDENCIA,Municipal,Rural,23087633,VIRGILIO TAVORA ESCOLA DE ENSINO FUNDAMENTAL,436,R$ 115.230,0,,
2016,CE,QUITERIANOPOLIS,Municipal,Urbana,23093137,VIRGILIO TAVORA EEIF,80,R$ 16.560,0,,
2016,CE,QUIXERAMOBIM,Municipal,Urbana,23103590,VIRGILIO TAVORA CEL EEF,150,R$ 31.050,0,,
2016,CE,QUIXERAMOBIM,Municipal,Urbana,23102373,VIRGILIO TAVORA CEL EEF,130,R$ 28.350,0,,
2016,SP,ITAPETININGA,Estadual,Rural,35015155,VIRGILIO SILVEIRA PROF,40,R$ 13.560,0,,
2016,SP,RIBEIRAO PRETO,Municipal,Urbana,35073829,VIRGILIO SALATA CEMEI,895,R$ 107.415,0,,
2016,SP,GUARATINGUETA,Municipal,Urbana,35218601,VIRGILIO ROSAS DA SILVA PROF EMEF,120,R$ 23.880,0,,
2016,CE,BARRO,Municipal,Rural,23159650,VIRGILIO LEITE CABRAL ESC,100,R$ 31.020,0,,
2016,CE,LAVRAS DA MANGABEIRA,Municipal,Urbana,23150521,VIRGILIO DE AGUIAR GURGEL EEIF,300,R$ 59.700,0,,
2016,SP,CAMPINAS,Municipal,Urbana,35059237,VIOLETA DORIA LINS EMEF,379,R$ 45.747,0,,
2016,SP,SANTOS,Municipal,Urbana,35069607,VINTE E OITO DE FEVEREIRO UNIDADE MUNICIPAL DE EDUCACAO,240,R$ 35.730,0,,
2016,CE,MARACANAU,Municipal,Urbana,23223065,VINICIUS DE MORAIS EMEF,100,R$ 21.180,0,,
2016,SP,TABOAO DA SERRA,Municipal,Urbana,35069991,VINICIUS DE MORAES EMEF,80,R$ 3.312,0,,
2016,PR,FOZ DO IGUACU,Municipal,Urbana,41076931,VINICIUS DE MORAES E M EF,570,R$ 114.630,0,,
2016,PR,ALTO PIQUIRI,Estadual,Urbana,41004728,VINICIUS DE MORAES E E DO C EF,20,R$ 4.620,0,,
2016,PR,TUPASSI,Estadual,Urbana,41069609,VINICIUS DE MORAES C E EF M PROFIS,25,R$ 7.095,0,,
2016,PR,NOVA TEBAS,Estadual,Rural,41039637,VINICIUS DE MORAES C E C E F M,30,R$ 6.318,0,,
2016,CE,AQUIRAZ,Municipal,Rural,23061910,VINDINA ASSUNCAO DE AQUINO EMEF,150,R$ 45.450,0,,
2016,SP,FRANCISCO MORATO,Estadual,Urbana,35044957,VINCENZO LOBASSI,180,R$ 12.420,0,,
2016,PR,QUITANDINHA,Municipal,Rural,41142080,VILSON HASSELMANN E R M EI EF,40,R$ 13.560,0,,
2016,SP,GUARULHOS,Estadual,Urbana,35925093,VILMA MARIA DOS SANTOS CARNEIRO PROFESSORA,110,R$ 23.730,0,,
2016,SP,PRESIDENTE PRUDENTE,Municipal,Urbana,35297471,VILMA ALVAREZ GONCALVES PROFESSORA ESCOLA MUNICIPAL,152,R$ 33.000,0,,
2016,SP,HORTOLANDIA,Municipal,Urbana,35082193,VILLAGIO GUIRALDELLI EMEF,100,R$ 21.180,0,,
2016,SP,ITAQUAQUECETUBA,Municipal,Urbana,35447161,VILLAGE EM,60,R$ 4.140,0,,
2016,SP,EMBU DAS ARTES,Municipal,Urbana,35227754,VILLA LOBOS EM,60,R$ 11.940,0,,
2016,CE,CRATEUS,Municipal,Urbana,23085894,VILEBALDO BARBOSA MARTINS ESC CID,300,R$ 59.700,0,,
2016,PR,PATO BRANCO,Municipal,Urbana,41093771,VILA VERDE E M EI EF,40,R$ 2.760,0,,
2016,SP,PRAIA GRANDE,Estadual,Urbana,35909836,VILA TUPI,300,R$ 59.700,0,,
2016,SP,PARAPUA,Municipal,Urbana,35415728,VILA SANTA HELENA EMEF,102,R$ 8.190,0,,
2016,CE,AQUIRAZ,Municipal,Rural,23061596,VILA PAGA EMEF,81,R$ 27.855,0,,
2016,PR,IPORA,Estadual,Urbana,41006240,VILA NILZA E E C EF,31,R$ 9.105,0,,
2016,SP,ITU,Estadual,Urbana,35362759,VILA LUCINDA,100,R$ 6.900,0,,
2016,SP,CUBATAO,Estadual,Urbana,35462664,VILA HARMONIA,150,R$ 31.050,0,,
2016,PR,GOIOERE,Estadual,Urbana,41012747,VILA GUAIRA C E EF M,20,R$ 2.772,0,,
2016,PR,PRIMEIRO DE MAIO,Estadual,Urbana,41022190,VILA GANDHI E E C EF,30,R$ 4.302,0,,
2016,SP,SAO VICENTE,Municipal,Urbana,35099144,VILA EMA EMEIEF,120,R$ 23.880,0,,
2016,PR,CASTRO,Municipal,Urbana,41060938,VILA DO ROSARIO E M DA EI EF,252,R$ 31.356,0,,
2016,SP,CAMPO LIMPO PAULISTA,Municipal,Urbana,35245641,VILA CONSTANCA EMEF,20,R$ 1.380,0,,
2016,PR,APUCARANA,Municipal,Urbana,41026322,VIDA NOVA E M EI EF,143,R$ 23.805,0,,
2016,SP,SANTA BARBARA D OESTE,Municipal,Urbana,35356487,VICTORIO FREGUGLIA PADRE CENTRO INTEGRADO DE EDUC PUBLICA,421,R$ 76.065,0,,
2016,SP,ITUPEVA,Municipal,Urbana,35240977,VICTORIA COMODO RAYMUNDO FERNANDES EMEF,250,R$ 52.230,0,,
2016,SP,AVANHANDAVA,Municipal,Urbana,35244442,VICTOR SANSONI PROF EMEF,304,R$ 38.448,0,,
2016,SP,ARACATUBA,Municipal,Urbana,35339349,VICTOR RIBEIRO MAZZEI MONSENHOR EMEB,100,R$ 21.180,0,,
2016,SP,SUD MENNUCCI,Municipal,Urbana,35273569,VICTOR PADILHA PROFESSOR EMEF,710,R$ 131.175,0,,
2016,SP,SAO PAULO,Estadual,Urbana,35003803,VICTOR OLIVA PROFESSOR,261,R$ 32.877,0,,
2016,SP,AVARE,Municipal,Urbana,35060070,VICTOR LAMPARELLI PROF EMEB,40,R$ 2.760,0,,
2016,PR,PALMITAL,Municipal,Rural,41095774,VICTOR GRANDE E M C EI EF,20,R$ 2.020,0,,
2016,SP,SAO PAULO,Estadual,Urbana,35001028,VICTOR DOS SANTOS CUNHA PROF,100,R$ 21.180,0,,
2016,CE,CANINDE,Municipal,Rural,23219777,VICTOR DIOGO SAMPAIO ESC MUL DR,55,R$ 17.385,0,,
2016,PR,RIO BRANCO DO SUL,Municipal,Urbana,41137191,VICTOR DE O FRANCO E M EF,40,R$ 2.760,0,,
2016,PR,PITANGA,Estadual,Rural,41097335,VICTOR C DE ALMEIDA C E C PE EF M,25,R$ 6.273,0,,
2016,PR,MARINGA,Municipal,Rural,41024842,VICTOR BELOTI E M EI EF,134,R$ 24.966,0,,
2016,SP,ITARARE,Municipal,Urbana,35214267,VICENTINA FERREIRA BRAGA PROFA EM,60,R$ 2.484,0,,
